Timestamp,Power (kW),Temp (C°)
01-01-10 1:15,165.1,10.6
01-01-10 1:30,151.6,10.6
01-01-10 1:45,146.9,10.6
01-01-10 2:00,153.7,10.6
01-01-10 2:15,153.8,10.6
01-01-10 2:30,159,10.6
01-01-10 2:45,157.7,10.6
01-01-10 3:00,163.2,10.6
01-01-10 3:15,151.7,10
01-01-10 3:30,148.7,10
01-01-10 3:45,155.1,10
01-01-10 4:00,161.5,10
01-01-10 4:15,161.5,10
01-01-10 4:30,162,10
01-01-10 4:45,166,10
01-01-10 5:00,159,10
01-01-10 5:15,158.6,10
01-01-10 5:30,152.1,10
01-01-10 5:45,162,10
01-01-10 6:00,164.4,10
01-01-10 6:15,163.6,9.4
01-01-10 6:30,168.8,9.4
01-01-10 6:45,163.7,9.4
01-01-10 7:00,156.2,9.4
01-01-10 7:15,168.4,10
01-01-10 7:30,165.1,10
01-01-10 7:45,172.5,10
01-01-10 8:00,177.3,10
01-01-10 8:15,266.2,10
01-01-10 8:30,255.6,10
01-01-10 8:45,257.3,10
01-01-10 9:00,255,10
01-01-10 9:15,267.3,10.6
01-01-10 9:30,260.8,10.6
01-01-10 9:45,260.4,10.6
01-01-10 10:00,258.2,10.6
01-01-10 10:15,258.4,11.7
01-01-10 10:30,259.4,11.7
01-01-10 10:45,261.9,11.7
01-01-10 11:00,264.1,11.7
01-01-10 11:15,274.2,13.3
01-01-10 11:30,267.1,13.3
01-01-10 11:45,271.1,13.3
01-01-10 12:00,275.7,13.3
01-01-10 12:15,268.4,13.9
01-01-10 12:30,272.3,13.9
01-01-10 12:45,269.2,13.9
01-01-10 13:00,274.1,13.9
01-01-10 13:15,279.2,13.3
01-01-10 13:30,276.1,13.3
01-01-10 13:45,275.5,13.3
01-01-10 14:00,277.9,13.3
01-01-10 14:15,277.1,15
01-01-10 14:30,282.1,15
01-01-10 14:45,277.4,15
01-01-10 15:00,275.6,15
01-01-10 15:15,275.8,16.7
01-01-10 15:30,278.4,16.7
01-01-10 15:45,278.8,16.7
01-01-10 16:00,274.2,16.7
01-01-10 16:15,281.4,16.1
01-01-10 16:30,281.8,16.1
01-01-10 16:45,277.4,16.1
01-01-10 17:00,297.6,16.1
01-01-10 17:15,324.1,15.6
01-01-10 17:30,316.5,15.6
01-01-10 17:45,317.4,15.6
01-01-10 18:00,318.3,15.6
01-01-10 18:15,313,14.4
01-01-10 18:30,333.4,14.4
01-01-10 18:45,348.3,14.4
01-01-10 19:00,311.2,14.4
01-01-10 19:15,343.5,14.4
01-01-10 19:30,349.6,14.4
01-01-10 19:45,311.6,14.4
01-01-10 20:00,329.3,14.4
01-01-10 20:15,347.1,13.3
01-01-10 20:30,310,13.3
01-01-10 20:45,331.6,13.3
01-01-10 21:00,313.7,13.3
01-01-10 21:15,288.9,13.3
01-01-10 21:30,327.4,13.3
01-01-10 21:45,299.1,13.3
01-01-10 22:00,288,13.3
01-01-10 22:15,314.1,12.8
01-01-10 22:30,308.8,12.8
01-01-10 22:45,286.8,12.8
01-01-10 23:00,288.2,12.8
01-01-10 23:15,199.1,13.3
01-01-10 23:30,197,13.3
01-01-10 23:45,165.2,13.3
01-02-10 0:00,163.1,13.3
01-02-10 0:15,154.4,10.6
01-02-10 0:30,152.2,10.6
01-02-10 0:45,158.7,10.6
01-02-10 1:00,163.8,10.6
01-02-10 1:15,158.7,10
01-02-10 1:30,152.3,10
01-02-10 1:45,155.2,10
01-02-10 2:00,155.9,10
01-02-10 2:15,152.1,10
01-02-10 2:30,154.1,10
01-02-10 2:45,155.9,10
01-02-10 3:00,156.8,10
01-02-10 3:15,153.9,9.4
01-02-10 3:30,152.2,9.4
01-02-10 3:45,165.6,9.4
01-02-10 4:00,168.8,9.4
01-02-10 4:15,160.5,8.9
01-02-10 4:30,160.6,8.9
01-02-10 4:45,161.1,8.9
01-02-10 5:00,160.7,8.9
01-02-10 5:15,157,10
01-02-10 5:30,161.7,10
01-02-10 5:45,158.4,10
01-02-10 6:00,165.8,10
01-02-10 6:15,166.4,10.6
01-02-10 6:30,168,10.6
01-02-10 6:45,159.5,10.6
01-02-10 7:00,164.2,10.6
01-02-10 7:15,170.3,10
01-02-10 7:30,178.8,10
01-02-10 7:45,181.5,10
01-02-10 8:00,182.4,10
01-02-10 8:15,270.9,11.1
01-02-10 8:30,269.4,11.1
01-02-10 8:45,273.1,11.1
01-02-10 9:00,268.3,11.1
01-02-10 9:15,277.7,11.7
01-02-10 9:30,269.8,11.7
01-02-10 9:45,268,11.7
01-02-10 10:00,258.3,11.7
01-02-10 10:15,260.7,12.2
01-02-10 10:30,257.2,12.2
01-02-10 10:45,256.3,12.2
01-02-10 11:00,255,12.2
01-02-10 11:15,270.9,13.3
01-02-10 11:30,269.6,13.3
01-02-10 11:45,307.6,13.3
01-02-10 12:00,283.5,13.3
01-02-10 12:15,266.1,13.9
01-02-10 12:30,295.9,13.9
01-02-10 12:45,278.5,13.9
01-02-10 13:00,269.5,13.9
01-02-10 13:15,297.5,13.3
01-02-10 13:30,294.4,13.3
01-02-10 13:45,300.7,13.3
01-02-10 14:00,287.5,13.3
01-02-10 14:15,288.4,13.3
01-02-10 14:30,288.4,13.3
01-02-10 14:45,283.9,13.3
01-02-10 15:00,310.4,13.3
01-02-10 15:15,285.3,13.3
01-02-10 15:30,288.9,13.3
01-02-10 15:45,277.1,13.3
